date,open,high,low,close,SMA5,SMA10,SMA20,SMA60,SMA120,SMA240,volume,MA5,MA10,DIF12-26,MACD9,OSC,"K(9,3)","D(9,3)",net buy sell,cumulative net buy sell,buy,sell
1998/8/6,7567.64,7568.56,7455.45,7471.74,7557.27,7666.6,7799.44,7751.16,8230.92,8216.28,770.15,805.07,897.45,-74.52,-27.32,-47.2,0.0632,0.0987,-259000000,-14800000000,1280000000,1530000000
1998/8/7,7501.27,7542.88,7446.97,7530.02,7538.73,7630.58,7786.48,7737.17,8218.86,8209.14,768.42,815.07,867.3,-82.09,-38.28,-43.82,0.1122,0.1032,-572000000,-15300000000,1680000000,2260000000
1998/8/10,7477.9,7487.01,7368.86,7372.12,7493.35,7584.77,7761.3,7720.29,8207.25,8201.51,634.2,783.4,803.32,-96.06,-49.83,-46.23,0.0773,0.0945,262000000,-15100000000,1690000000,1430000000
1998/8/11,7361.19,7398,7338.85,7383.98,7451.52,7545.64,7734.25,7704.79,8195.05,8193.86,637.72,740.48,778.21,-107.81,-61.43,-46.38,0.0843,0.0911,-635000000,-15700000000,1040000000,1670000000
1998/8/12,7301.52,7351.51,7276.24,7351.51,7421.87,7507.75,7700.18,7691,8182.56,8186.68,676.33,697.36,763.36,-119.26,-72.99,-46.26,0.1133,0.0985,-1120000000,-16800000000,822000000,1940000000
1998/8/13,7433.39,7447.3,7362.55,7362.55,7400.04,7478.65,7666.32,7679.24,8169.85,8179.89,825.26,708.39,756.73,-122.79,-82.95,-39.84,0.141,0.1127,-339000000,-17200000000,1740000000,2070000000
1998/8/14,7345.53,7355.15,7275.6,7348.04,7363.64,7451.19,7631.34,7666.3,8156.94,8173.87,647.1,684.12,749.6,-128.32,-92.03,-36.29,0.1603,0.1286,-1400000000,-18600000000,667000000,2070000000
1998/8/15,7379.39,7415.59,7356.81,7371.84,7363.58,7428.47,7602.47,7657.44,8143.12,8168.26,541.28,665.54,724.47,-127.41,-99.1,-28.3,0.2164,0.1578,62000000,-18500000000,387000000,325000000
1998/8/17,7352.28,7352.28,7248.14,7273.85,7341.56,7396.54,7572.11,7651.9,8128.26,8161.78,609.83,659.96,700.22,-132.58,-105.8,-26.78,0.171,0.1622,-1100000000,-19600000000,1110000000,2210000000
1998/8/18,7284.6,7284.6,7088.73,7181.59,7307.57,7364.72,7537.2,7645.5,8112.65,8155.41,1117.88,748.27,722.82,-143.33,-113.3,-30.03,0.1822,0.1689,-81000000,-19700000000,1710000000,1800000000
1998/8/19,7261.85,7322.37,7259.63,7293.4,7293.74,7346.89,7506.75,7639.67,8097.88,8149.57,887.2,760.66,734.52,-141.5,-118.94,-22.56,0.2927,0.2102,1290000000,-18400000000,2710000000,1420000000
1998/8/20,7289.89,7311.75,7257.19,7270.84,7278.3,7320.97,7475.77,7637.09,8083.09,8144.43,640.62,759.36,721.74,-139.61,-123.08,-16.54,0.3645,0.2616,697000000,-17700000000,1600000000,899000000
1998/8/21,7268.14,7277.24,7195.05,7213.37,7246.61,7305.1,7444.94,7632.22,8068.6,8138.92,584.39,767.98,716.76,-140.76,-126.61,-14.15,0.3588,0.294,-215000000,-17900000000,923000000,1140000000
1998/8/24,7128.97,7128.97,6957.75,6957.75,7183.39,7262.47,7404.06,7620.9,8052.75,8132.99,772.71,800.56,730.26,-157.94,-132.88,-25.06,0.2392,0.2757,-942000000,-18900000000,1240000000,2190000000
1998/8/25,6948.95,6948.95,6811.43,6908.33,7128.74,7218.16,7362.95,7609.52,8036.12,8126.8,793.72,735.73,742,-178.09,-141.92,-36.16,0.2129,0.2548,576000000,-18300000000,1930000000,1350000000
1998/8/26,6996.32,7017.4,6814.33,6814.33,7032.92,7163.33,7320.99,7598.83,8019.11,8120.94,795.21,717.33,738.99,-194.16,-152.37,-41.79,0.1436,0.2177,49000000,-18200000000,2010000000,1960000000
1998/8/27,6706.32,6820.71,6665.95,6813.3,6941.42,7109.86,7280.52,7592,8002.9,8114.93,887.95,766.8,763.08,-211.47,-164.19,-47.28,0.1673,0.2009,46000000,-18200000000,1710000000,1670000000
1998/8/28,6625.37,6802.95,6615.94,6723.77,6843.5,7045.05,7236.76,7583.88,7985.54,8107.69,891.21,828.16,798.07,-227.54,-176.86,-50.68,0.1624,0.1881,-582000000,-18800000000,1530000000,2110000000
1998/8/29,6766.8,6800.54,6726.85,6735.92,6799.13,6991.26,7193.9,7577.53,7966.34,8100.49,625.39,798.7,799.63,-234.89,-188.47,-46.43,0.1649,0.1803,-373000000,-19200000000,190000000,563000000
1998/8/31,6776.15,6776.15,6550.11,6550.11,6727.49,6928.11,7146.42,7565.3,7945.8,8092.66,642.99,768.55,752.14,-249.4,-200.65,-48.74,0.1099,0.1569,-489000000,-19600000000,650000000,1140000000
1998/9/1,6350.13,6361.58,6219.89,6335.09,6631.64,6832.28,7089.59,7547.48,7922.8,8084.63,971.86,803.88,760.61,-281.35,-216.79,-64.56,0.1096,0.1411,-789000000,-20400000000,1500000000,2290000000
1998/9/2,6450.42,6518.11,6388.07,6471.68,6563.31,6752.37,7036.67,7530.9,7900.99,8078.27,886.66,803.62,785.21,-291.25,-231.68,-59.57,0.1654,0.1492,-1530000000,-22000000000,1090000000,2610000000
1998/9/3,6372.36,6391.86,6240.69,6251.38,6468.84,6656.17,6980.63,7505.62,7877.32,8071.68,810.93,787.57,807.86,-309.93,-247.33,-62.6,0.1234,0.1406,-2360000000,-24300000000,842000000,3210000000
1998/9/4,6254.83,6463.15,6254.83,6463.15,6414.28,6606.71,6934.59,7484.1,7855.84,8066.87,766.14,815.72,807.21,-310.89,-260.04,-50.85,0.184,0.1551,-1690000000,-26000000000,1280000000,2970000000
1998/9/5,6507.97,6758.68,6507.97,6755.71,6455.4,6591.44,6904.8,7466.41,7837.02,8064.53,1116.09,910.34,839.44,-285.48,-265.13,-20.35,0.4199,0.2433,298000000,-25700000000,1730000000,1430000000
1998/9/7,6769.62,6822.97,6707.64,6800.73,6548.53,6590.08,6876.71,7451.54,7817.58,8060.64,895.19,895,849.44,-255.27,-263.16,7.89,0.601,0.3626,-871000000,-26600000000,1070000000,1940000000
1998/9/8,6820.19,6942.26,6820.19,6942.26,6642.65,6602.98,6856.42,7440.02,7798.44,8057.52,1160.87,949.84,876.73,-218.41,-254.21,35.8,0.734,0.4864,-668000000,-27300000000,1890000000,2560000000
1998/9/9,7017.28,7017.28,6846.5,6894.57,6771.28,6620.06,6832.56,7427.08,7778.67,8053.64,1128.54,1013.37,900.47,-186.93,-240.75,53.82,0.7714,0.5814,-69000000,-27300000000,2060000000,2130000000
1998/9/10,6803.26,6915.07,6780.78,6803.83,6839.42,6626.85,6809.06,7411.77,7758.17,8049.83,825.31,1025.2,920.46,-167.11,-226.02,58.92,0.7583,0.6404,53000000,-27300000000,2260000000,2210000000
1998/9/11,6745.52,6858.99,6682.91,6841.83,6856.64,6656.02,6792.07,7397.77,7739.43,8046.41,892.21,980.43,945.38,-151.22,-211.06,59.84,0.7636,0.6814,-710000000,-28000000000,1280000000,1990000000
1998/9/14,6884.82,6922.96,6852.08,6860.17,6868.53,6708.53,6770.41,7386.51,7721.15,8044.95,707.95,942.98,918.99,-131.67,-195.19,63.51,0.775,0.7126,-807000000,-28800000000,1270000000,2080000000
1998/9/15,6925.22,6925.22,6816.17,6857.96,6851.67,6747.16,6749.76,7375,7704.44,8043.98,688.69,848.54,899.19,-115.62,-179.27,63.66,0.7803,0.7352,143000000,-28600000000,1800000000,1660000000
1998/9/16,6877.9,6972.54,6851.3,6972.54,6867.27,6819.28,6737.72,7360.92,7689.51,8042.56,817.01,786.23,899.8,-95.51,-162.52,67.01,0.8243,0.7649,1020000000,-27600000000,2160000000,1140000000
1998/9/17,7036.87,7060.73,6998,7000.52,6906.6,6873.01,6739.86,7348.28,7674.45,8039.87,1118.61,844.89,935.05,-72.86,-144.59,71.73,0.8297,0.7865,372000000,-27300000000,1800000000,1430000000
1998/9/18,6929.24,7000.27,6929.24,6961.76,6930.59,6893.62,6742.53,7333.04,7659.3,8036.44,782.55,822.96,901.69,-58.41,-127.35,68.94,0.7992,0.7907,179000000,-27100000000,820000000,641000000
1998/9/19,7069.6,7162.86,7046.57,7149.59,6988.47,6928.5,6759.29,7320.62,7647.05,8033.46,1129.7,907.31,925.14,-33.35,-108.55,75.2,0.8569,0.8128,-525000000,-27600000000,461000000,986000000
1998/9/21,7218.39,7218.39,6988.98,7029.4,7022.76,6937.22,6770.1,7307.01,7632.91,8029.1,1244.02,1018.38,933.46,-18.17,-90.47,72.31,0.787,0.8042,-756000000,-28400000000,953000000,1710000000
1998/9/22,7090.09,7090.09,6984.84,7033.99,7035.05,6951.16,6785.61,7291.96,7620.62,8025.66,786.32,1012.24,899.24,-8.53,-74.08,65.56,0.7432,0.7838,643000000,-27700000000,1420000000,774000000
1998/9/23,7065.01,7086.78,6951.61,6962.17,7027.38,6966.99,6796.92,7275.54,7608.31,8022.71,851.03,958.72,901.81,-4.47,-60.16,55.69,0.6164,0.728,-100000000,-27800000000,1480000000,1580000000
1998/9/24,7045.58,7045.58,6979.95,6979.95,7031.02,6980.81,6818.41,7260.49,7594.5,8019.43,764.58,955.13,889.05,-0.78,-48.29,47.5,0.5467,0.6676,761000000,-27000000000,1990000000,1230000000
1998/9/25,6952.69,6979.89,6903.69,6979.89,6997.08,6992.78,6850.65,7246.56,7580.88,8016.37,581.67,845.53,876.42,-0.72,-38.77,38.05,0.4812,0.6055,-1070000000,-28100000000,732000000,1800000000
1998/9/28,6958.17,6958.17,6905.45,6910.61,6973.32,6998.04,6872.6,7231.92,7566.51,8013.69,442.21,685.16,851.77,-3.83,-31.78,27.96,0.3281,0.513,-307000000,-28400000000,896000000,1200000000
1998/9/29,6952.21,6952.21,6841,6884.5,6943.42,6989.24,6904.26,7215.39,7553.28,8011.2,587.27,645.35,828.8,-8.66,-27.16,18.5,0.2572,0.4277,1310000000,-27100000000,2360000000,1050000000
1998/9/30,6871.57,6906.46,6796.42,6833.95,6917.78,6972.58,6922.8,7197.21,7539.94,8008.45,557.07,586.56,772.64,-16.17,-24.96,8.79,0.2011,0.3522,508000000,-26600000000,1940000000,1430000000
